Timestamp,Which course are you currently enrolled in?,FF_Influence_Activity,FF_Working__Activity,FF_Heard_CCM,TWED_Affordable,TWED_Location,TWED_Programs,TWED_Online,TWED_FF,TWED_Faculty,TWED_Repuation,TWED_Scholarships,TWED_Transfer,TWED_Class_Size,TWED_ExtraC,G_Programs,RE_GuidanceHS,RE_IT_Website,RE_Admissions,RE_GuidanceCCM,RE_Employer,RE_Other,G_WebDev,G_Cyber,G_App,G_Data,G_ML_AI,G_CMP,G_GameD,G_Hardware,Gender,R/E,Age
2024/09/19 11:18:36 AM AST,CMP 101 Computer Information Literacy,0.0,0.0,1,2.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Nursing,0,0,0,1,0,0,0,1,1,0,1,1,1,0,Woman,Black/African American,18 and younger
2024/09/19 11:20:18 AM AST,CMP 126 Computer Technology and Applications,1.0,0.0,1,2.0,1.0,2.0,2.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,Liberal Arts,0,1,1,1,0,0,1,0,0,0,0,0,0,0,Woman,Hispanic or Latino;White/Caucasian,19-20
2024/09/19 11:40:21 AM AST,CMP 126 Computer Technology and Applications,0.0,0.0,1,2.0,2.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Liberal Arts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Woman,White/Caucasian,19-20
2024/09/19 12:15:33 PM AST,CMP 126 Computer Technology and Applications,0.0,0.0,1,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,Communication,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Woman,Choose not to reply,19-20
2024/09/19 12:35:00 PM AST,CMP 101 Computer Information Literacy,,,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,Child and Family Studies,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Woman,White/Caucasian,21-24
2024/09/19 1:14:32 PM AST,CMP 135 Computer Concepts with Applications,,,0,1.0,2.0,2.0,,,1.0,2.0,,,,,Radiography,1,0,0,0,0,0,1,1,0,0,1,0,0,1,Woman,Hispanic or Latino,21-24
2024/09/19 2:00:30 PM AST,CMP 126 Computer Technology and Applications,0.0,0.0,1,2.0,2.0,2.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,Musical Theatre,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Woman,White/Caucasian,19-20
2024/09/19 8:00:55 PM AST,CMP 101 Computer Information Literacy,0.0,0.0,1,2.0,2.0,2.0,2.0,2.0,,,,,,,Nursing,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,0,0,0,0,0,0,0,0,Woman,Hispanic or Latino,19-20
2024/09/19 8:41:25 PM AST,CMP 101 Computer Information Literacy,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Liberal Arts,0,0,0,1,0,0,1,0,0,0,0,0,0,1,Man,White/Caucasian,35-64
2024/09/19 8:44:52 PM AST,CMP 101 Computer Information Literacy,1.0,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Liberal Arts,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Man,White/Caucasian,35-64
2024/09/19 8:59:39 PM AST,CMP 126 Computer Technology and Applications,,,1,2.0,2.0,,1.0,1.0,,1.0,0.0,0.0,0.0,0.0,Liberal Arts,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Woman,Hispanic or Latino,19-20
2024/09/19 9:13:35 PM AST,CMP 126 Computer Technology and Applications,0.0,0.0,1,2.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,Early Childhood Education,0,0,0,0,0,1,1,1,1,0,1,0,0,0,Woman,Hispanic or Latino,25-34
2024/09/19 9:53:02 PM AST,CMP 126 Computer Technology and Applications,0.0,0.0,0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Child and Family Studies,0,1,1,1,0,0,0,0,0,0,0,0,0,0,Woman,White/Caucasian,35-64
